#     Step             Time      Temperature                E_kin                     E_pot             Pressure
       339         169.5000        4484.7945          28.40551247        -223.58076485        1473.81353264
       340         170.0000        4541.4693          28.76447557        -223.96501798         -67.97006910
       341         170.5000        4545.7174          28.79138199        -224.13888850        -796.18892625
       342         171.0000        4555.1807          28.85131998        -224.04776123         169.33606612
       343         171.5000        4533.2166          28.71220502        -223.75133915        2160.98400709
       344         172.0000        4459.8557          28.24755662        -223.43765904        4878.90691802
       345         172.5000        4473.3255          28.33287070        -223.34425447        8093.64296896
       346         173.0000        4566.3271          28.92191856        -223.47642357       11241.72407457
       347         173.5000        4554.0179          28.84395537        -223.61210487       13204.30735843
       348         174.0000        4503.8808          28.52639980        -223.66943682       13558.52022220
       349         174.5000        4509.4774          28.56184718        -223.95190713       13221.44887982
       350         175.0000        4676.5109          29.61979382        -224.70707993       12704.64188681
       351         175.5000        4868.1429          30.83354025        -225.60122258       11731.47351674
       352         176.0000        4908.1764          31.08710215        -226.06367684       10811.03496762
       353         176.5000        4930.0821          31.22584699        -225.86101089       10042.01099363
       354         177.0000        4751.3107          30.09355601        -225.17180342       10314.08570792
       355         177.5000        4621.6046          29.27203160        -224.46854590       10715.18067013
       356         178.0000        4627.4732          29.30920179        -224.26842712       10529.74694319
       357         178.5000        4634.3598          29.35281979        -224.47894636        9101.30492698
       358         179.0000        4670.3215          29.58059182        -224.59911514        6669.03672452
       359         179.5000        4638.8452          29.38122903        -224.46144820        4195.33066495
       360         180.0000        4577.0435          28.98979321        -224.19701311        1947.84141534
       361         180.5000        4523.4614          28.65041836        -223.97621248        -669.97060335
       362         181.0000        4580.6550          29.01266784        -223.93103877       -2426.98971772
       363         181.5000        4587.7604          29.05767161        -223.99054295       -3981.81515601
       364         182.0000        4574.0762          28.97099892        -223.94055870       -4568.27167294
       365         182.5000        4520.1545          28.62947317        -223.62589248       -5310.09235111
       366         183.0000        4405.8720          27.90563769        -223.08065808       -6262.76540630
       367         183.5000        4341.5479          27.49822573        -222.51944391       -6838.74955151
       368         184.0000        4206.6362          26.64373068        -222.29445597       -8810.69472214
       369         184.5000        4181.1520          26.48232018        -222.41838901      -10786.13555471
       370         185.0000        4175.5648          26.44693275        -222.32627345      -12231.78522545
       371         185.5000        4051.2501          25.65955562        -221.80884341      -13022.12297791
       372         186.0000        3901.3579          24.71017780        -221.05169109      -13674.73152470
       373         186.5000        3664.8746          23.21235468        -220.29820327      -14870.37378215
       374         187.0000        3642.1943          23.06870357        -219.83470691      -14260.52476838
       375         187.5000        3688.9648          23.36493547        -219.85309963      -13825.41047112
       376         188.0000        3799.5464          24.06533072        -220.18015005      -13667.29938846
       377         188.5000        3838.8276          24.31412721        -220.44722712      -14384.88326798
       378         189.0000        3870.9770          24.51775326        -220.54412137      -14488.71009550
       379         189.5000        3871.0199          24.51802519        -220.54205428      -13441.75549634
       380         190.0000        3823.3665          24.21620111        -220.51472482      -12801.91439130
       381         190.5000        3815.2472          24.16477529        -220.41185019      -12227.91532437
       382         191.0000        3772.0204          23.89098809        -220.12905750      -12009.01990222
       383         191.5000        3744.7235          23.71809655        -219.87631028      -11818.33925233
       384         192.0000        3765.5349          23.84991085        -219.93238574      -11634.88655900
       385         192.5000        3763.1560          23.83484329        -220.14481476      -12029.23039596
       386         193.0000        3679.3190          23.30384203        -220.13134771      -14277.40933596
       387         193.5000        3576.9532          22.65548359        -219.79311152      -16890.23928838
       388         194.0000        3510.3403          22.23357511        -219.56116735      -19947.23843431
       389         194.5000        3593.5750          22.76076186        -219.92003297      -22742.99058553
       390         195.0000        3784.5916          23.97061079        -220.67226014      -25271.55876041
       391         195.5000        3876.3972          24.55208314        -221.37940030      -27294.29300958
       392         196.0000        3926.7124          24.87076686        -221.80093405      -27716.24743543
       393         196.5000        3924.9840          24.85981964        -221.83682196      -26330.58411243
       394         197.0000        3866.7150          24.49075861        -221.45619643      -23770.73516663
       395         197.5000        3801.4588          24.07744289        -220.91152371      -19676.34556218
       396         198.0000        3740.8525          23.69357859        -220.60380912      -16097.01494214
       397         198.5000        3774.7848          23.90849693        -220.40679341      -12550.21208460
       398         199.0000        3749.0662          23.74560239        -220.10782353       -9457.63191865
       399         199.5000        3663.9787          23.20668031        -219.69355959       -7386.68407054
       400         200.0000        3609.1930          22.85968211        -219.21918358       -5800.05380491
       401         200.5000        3539.8910          22.42074128        -218.85514795       -4908.67192586
       402         201.0000        3497.8300          22.15433781        -218.57124240       -4947.12005069
